,link,name,type,price,address,built_up,land_area,bedrooms,bathrooms,monthly_installment,land_title,tenure,price_per_sqft,state
0,/property/setapak/kenwingston-platz/sale-8361931/,"Kenwingston Platz, Setapak",Serviced Residence  , 388000,"Jalan Gombak, Setapak, 53000, Kuala Lumpur", 808 sq. ft., 808 sq. ft.,3,2," 1,749 ",Serviced Residence,Freehold,-, Kuala Lumpur
1,/property/klcc/four-seasons-place/sale-6951838/,"Four Seasons Place, Jalan Ampang, KLCC",Condominium | Corner  , 11000000,"Jalan Ampang, 50450, Kuala Lumpur", 3843 sq. ft., 3843 sq. ft.,4+1,6," 49,575 ",Condominium,Freehold,-, Kuala Lumpur
2,/property/klcc/soho-suites-klcc/sale-5356370/,"Soho Suites @ KLCC, KLCC",Serviced Residence  , 978000,"Jalan Perak, KLCC, 50450, Kuala Lumpur", 888 sq. ft., 888 sq. ft.,3,2," 4,408 ",Serviced Residence,Freehold,-, Kuala Lumpur
3,/new-property/property/sepang/setia-warisan-tropika/new-6076/,Setia Warisan Tropika,2-sty Terrace/Link House  ,0,"Salak Tinggi, Sepang, Selangor", From 1907 - 2108 sq. ft., From 1907 - 2108 sq. ft.,3 - 4,1 - 3," 2,956 ",Residential,N/A,From RM 344 - RM 494, Selangor
4,/property/klcc/le-nouvel/sale-8356058/,"Le Nouvel, KLCC",Condominium | Corner  , 4384800,"152, Jalan Ampang, 50450, Kuala Lumpur", 1722 sq. ft., 1722 sq. ft.,2+1,2," 19,762 ",Condominium,Freehold,-, Kuala Lumpur
5,/property/bukit-jalil/anjung-hijau-greenfields/sale-8123843/,"Anjung Hijau (Greenfields), Bukit Jalil",Apartment | Intermediate  , 408000,"Jalan 1/155B, Bukit Jalil, 57000, Kuala Lumpur", 1116 sq. ft., 1116 sq. ft.,3,2," 1,839 ",Apartment,Freehold,-, Kuala Lumpur
6,/new-property/property/batu-pahat/laman-bayu/new-6074/,Laman Bayu,2-sty Terrace/Link House  ,0,"Bandar Putera Indah, Batu Pahat, Johor", From 1426 sq. ft., From 1426 sq. ft.,0 - 4,0 - 3," 1,749 ",Residential,N/A,Contact for price, Johor
7,/property/klcc/four-seasons-place/sale-8070083/,"Four Seasons Place, Jalan Ampang, KLCC",Condominium  , 7000000,"Jalan Ampang, 50450, Kuala Lumpur", 2271 sq. ft., 2271 sq. ft.,3+1,3," 31,548 ",Condominium,Freehold,-, Kuala Lumpur
8,/property/valencia/sale-8349919/,"Sg buloh, Valencia",Bungalow | Intermediate  , 3400000,"Sg buloh, 47000, Selangor", 3800 sq. ft., 3800 sq. ft.,4,0," 15,323 ",Bungalow,Leasehold,-, Selangor
9,/property/klcc/aria/sale-8354892/,"Aria, KLCC",Condominium | Intermediate  , 2050000,"Jalan Tun Razak, KLCC, 50450, Kuala Lumpur", 1502 sq. ft., 1502 sq. ft.,3,3," 9,239 ",Condominium,Freehold,-, Kuala Lumpur
10,/new-property/property/bandar-sri-damansara/ativo-suites-damansara-avenue/new-5688/,Ativo Suites @ Damansara Avenue,Serviced Residence  ,0,"Damansara Avenue, Bandar Sri Damansara, Selangor", From 499 - 1498 sq. ft., From 499 - 1498 sq. ft.,1 - 3,1 - 3, 0 ,Commercial,N/A,Contact for price, Selangor
11,/property/skudai/sale-8327546/,"Taman Pulai Indah, Skudai",2-sty Terrace/Link House | Corner  , 650000,"Taman Pulai Indah , Taman Pulai Indah, 81300, Johor", 1540 sq. ft., 1540 sq. ft.,4,3," 2,929 ",2-sty Terrace/Link House,Freehold,-, Johor
12,/property/mont-kiara/residensi-sefina-mont-kiara/sale-7318490/,"Residensi Sefina Mont'Kiara, Mont Kiara",Condominium  , 1020000,"Jalan Kiara 3, 50480, Kuala Lumpur", 1333 sq. ft., 1333 sq. ft.,3,2," 4,597 ",Condominium,Freehold,-, Kuala Lumpur
13,/property/melaka-city/admiral-residences/sale-7760444/,"Admiral Residences, Kota Laksamana, Melaka City",Apartment  , 347000,"24, Jln KLJ 4, Taman Kota Laksamana Jaya, Kota Laksamana, 75300, Melaka", 1069 sq. ft., 1069 sq. ft.,3,2," 1,564 ",Apartment,Leasehold,-, Melaka
14,/new-property/property/kepong/residensi-ava/new-6067/,Residensi Ava,Apartment  ,0,"Kiara Bay, Kepong, Kuala Lumpur", From 813 - 1285 sq. ft., From 813 - 1285 sq. ft.,3 - 4,2," 2,559 ",Commercial,N/A,RM 650, Kuala Lumpur
15,/property/tanjong-tokong/andaman-quayside/sale-8091134/,"Andaman Quayside, Tanjung Tokong, Tanjong Tokong",Condominium | Penthouse  , 5748000,"Lorong Seri Tanjung Pinang, Tanjung Tokong, 11200, Penang", 4813 sq. ft., 4813 sq. ft.,4,0," 25,905 ",Condominium,Freehold,-, Penang
16,/property/seremban-2/sale-8242327/,Seremban 2,Semi-detached House | Intermediate  , 999000,"Seremban 2, 70300, Negeri Sembilan", 3036 sq. ft., 3036 sq. ft.,4,4," 4,502 ",Semi-detached House,Freehold,-, Negeri Sembilan
17,/property/port-dickson/sale-7819400/,"Bandar Springhill, Port Dickson",2-sty Terrace/Link House | Intermediate  , 386000,"Bandar Springhill, Negeri Sembilan", 2062 sq. ft., 2062 sq. ft.,4,3," 1,740 ",2-sty Terrace/Link House,Freehold,-, Negeri Sembilan
18,/property/port-dickson/sale-7813491/,"Bandar Springhill, Port Dickson",2.5-sty Terrace/Link House | Intermediate  , 490400,"Bandar Springhill, Negeri Sembilan", 3187 sq. ft., 3187 sq. ft.,5+1,5," 2,210 ",2.5-sty Terrace/Link House,Freehold,-, Negeri Sembilan
19,/property/setapak/kl-traders-square/sale-8331315/,"KL Traders Square, Setapak",Serviced Residence  , 430000,"Jalan Gombak Batu 4, Setapak, 53000, Kuala Lumpur", 940 sq. ft., 940 sq. ft.,3+1,2," 1,938 ",Serviced Residence,Freehold,-, Kuala Lumpur
20,/property/setiawangsa/kaleidoscope-residensi-setiawangsa/sale-7211335/,"Kaleidoscope (Residensi Setiawangsa), Setiawangsa",Condominium | Intermediate  , 590000,"Off Jalan 1/56, Setiawangsa 54200 Kuala Lumpur, Setiawangsa, 54200, Kuala Lumpur", 1196 sq. ft., 1196 sq. ft.,3,2," 2,659 ",Condominium,Leasehold,-, Kuala Lumpur
