,link,name,type,price,address,built_up,land_area,bedrooms,bathrooms,monthly_installment,land_title,tenure,price_per_sqft,maintenance_fee,furnishing,state
0,/property/mont-kiara/residensi-22/sale-8478541/,"Residensi 22, Mont Kiara",Condominium  , 2900000,"Jalan Kiara 3, Mont Kiara, 50480, Kuala Lumpur ", 3061 sq. ft., -,4+1,5," 13,070 ",-,-,-,-,-, Kuala Lumpur
1,/property/cyberjaya/sale-6635978/,"Lake Point Residence, Cyberjaya",2-sty Terrace/Link House  , 750000,"Lake Point Residence, 63000, Selangor ", 2600 sq. ft., 22x70/27x70/30x70 ,4,5," 3,380 ",Residential,Freehold,-,-,-, Selangor
2,/property/cyberjaya/sale-6465187/,"Liu Li Garden, Setia Eco Glades , Cyberjaya",2-sty Terrace/Link House | EndLot  , 930000,"63000, Liu Li Garden, Setia Eco Glades , 63000, Selangor ", 2900 sq. ft., 26 x 95 ,3+1,4," 4,191 ",Residential,Freehold,-,-,Partly Furnished, Selangor
3,/new-property/property/johor-bahru/harp-taman-desa-tebrau-2-storey-cluster-homes/new-5690/,"Harp @ Taman Desa Tebrau, 2-Storey Cluster Homes",Cluster House  ,0,"Taman Desa Tebrau, Johor Bahru, Johor ", From 2490 - 2677 sq. ft., 34 x 80 ,0,0," 4,958 ",Residential,-,Contact for price,-,-, Johor
4,/property/city-centre/st-mary-residences/sale-6422764/,"St Mary Residences, KLCC, City Centre",Serviced Residence | Corner  , 1300000,"Jalan Tengah, KLCC, 50250, Kuala Lumpur ", 1131 sq. ft., -,1,2," 5,859 ",Residential,Freehold,RM 1149,-,Fully Furnished, Kuala Lumpur
5,/property/klcc/park-seven/sale-7647092/,"Park Seven, KLCC",Condominium | Duplex  , 4427000,"Persiaran KLCC, KLCC, 50088, Kuala Lumpur ", 4427 sq. ft., -,5+1,7," 19,952 ",Residential,Freehold,RM 1000,-,Partly Furnished, Kuala Lumpur
6,/new-property/property/relau/setia-sky-vista/new-2015/,Setia Sky Vista,Condominium  ,0,"Relau, Penang ", From 910 - 1479 sq. ft., 6.153 acres ,2 - 3,2 - 3," 2,255 ",Residential,-,From RM 550,-,-, Penang
7,/property/kuchai-lama/kuchai-avenue/sale-7749492/,"Kuchai Avenue, Kuchai Entrepreneurs Park, Kuchai Lama",Serviced Residence | Corner  , 415000,"Jalan Kuchai Maju 13, Kuchai Entrepreneurs Park, 57100, Kuala Lumpur ", 950 sq. ft., -,3,2," 1,870 ",Commercial,Freehold,-,-,Partly Furnished, Kuala Lumpur
8,/property/sungai-besi/the-vyne/sale-7749219/,"The Vyne, Taman Sungai Besi, Sungai Besi",Condominium | Corner  , 643999,"Jalan 6/108D, Taman Sungai Besi, 57100, Kuala Lumpur ", 1260 sq. ft., -,3,2," 2,902 ",Residential,Leasehold,-,-,Partly Furnished, Kuala Lumpur
9,/property/kl-city/core-residence-trx/sale-8342231/,"Core Residence @ TRX, KL City",Serviced Residence  , 1200000,"Jalan Tun Razak, KL City, 55100, Kuala Lumpur ", 624 sq. ft., -,1,1," 5,408 ",Commercial,Freehold,-,-,Partly Furnished, Kuala Lumpur
10,/new-property/property/kulai/taman-saujana-jaya/new-6072/,Taman Saujana Jaya,Residential Land  ,0,"Kulai, Johor ", From 1750 - 1830 sq. ft., 20' x 70' (1400 sf) ,4,3," 1,797 ",Residential,-,Contact for price,-,-, Johor
11,/property/mont-kiara/28-mont-kiara-mk-28/sale-8330312/,"28 Mont Kiara @ MK28, Mont Kiara",Condominium  , 2050000,"Jalan Kiara, Mont Kiara, 50480, Kuala Lumpur ", 2700 sq. ft., -,3+1,5," 9,239 ",-,Freehold,-,-,Partly Furnished, Kuala Lumpur
12,/property/mont-kiara/kiaramas-ayuria/sale-8038497/,"Kiaramas Ayuria, Mont Kiara",Condominium  , 1390000,"Jalan Kiara 7, Mont Kiara, 50480, Kuala Lumpur ", 2002 sq. ft., -,3+1,3," 6,265 ",-,Freehold,-,-,Fully Furnished, Kuala Lumpur
13,/property/mont-kiara/verve-suites/sale-7870994/,"Verve Suites, Mont Kiara",Serviced Residence  , 899000,"Jalan Kiara 5, Mont Kiara, 60000, Kuala Lumpur ", 926 sq. ft., -,2,1," 4,052 ",-,Freehold,-,-,Fully Furnished, Kuala Lumpur
14,/new-property/property/iskandar-puteri-nusajaya/aspira-parkhomes/new-5852/,Aspira Parkhomes,2-sty Terrace/Link House,0,"Iskandar Puteri (Nusajaya), Johor ", -, -,4,3," 2,371 ",Residential,-,Contact for price,-,-, Johor
